Jul 24 07:57:48 knight-t101 systemd[1]: Starting lods-installer.service - projekt-lods installer...
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving liblastlog2-2 2.41-5
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating liblastlog2-2 2.41-5
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving liblocale-gettext-perl 1.07-7+b1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating liblocale-gettext-perl 1.07-7+b1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving liblz4-1 1.10.0-4
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating liblz4-1 1.10.0-4
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving liblzma5 5.8.1-1+deb13u1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating liblzma5 5.8.1-1+deb13u1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving libmd0 1.1.0-2+b1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating libmd0 1.1.0-2+b1
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving libmnl0 1.0.5-3
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating libmnl0 1.0.5-3
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving libmount1 2.41-5
Jul 24 07:58:08 knight-t101 python3[1695]: I: Validating libmount1 2.41-5
Jul 24 07:58:08 knight-t101 python3[1695]: I: Retrieving libncursesw6 6.5+20250216-2
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libncursesw6 6.5+20250216-2
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libnettle8t64 3.10.1-1
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libnettle8t64 3.10.1-1
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libnewt0.52 0.52.25-1
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libnewt0.52 0.52.25-1
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libnftables1 1.1.3-1
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libnftables1 1.1.3-1
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libnftnl11 1.2.9-1
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libnftnl11 1.2.9-1
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libpam-modules 1.7.0-5
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libpam-modules 1.7.0-5
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libpam-modules-bin 1.7.0-5
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libpam-modules-bin 1.7.0-5
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libpam-runtime 1.7.0-5
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libpam-runtime 1.7.0-5
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libpam0g 1.7.0-5
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libpam0g 1.7.0-5
Jul 24 07:58:09 knight-t101 python3[1695]: I: Retrieving libpcre2-8-0 10.46-1~deb13u1
Jul 24 07:58:09 knight-t101 python3[1695]: I: Validating libpcre2-8-0 10.46-1~deb13u1
